taxa,Bill's zonation,Year,month,average
Calanus hyperboreus,Labrador bassin,2018,May,3237.525682
Calanus hyperboreus,Labrador bassin,2019,June,468.2387444
Calanus hyperboreus,Labrador bassin,2020,July,
Calanus hyperboreus,Labrador bassin,2021,,
Calanus hyperboreus,Labrador bassin,2022,May,1635.765266
Calanus hyperboreus,Labrador bassin,2023,June,490.5932
Calanus hyperboreus,Greenland shel/slope,1995,June,1345.83
Calanus hyperboreus,Greenland shel/slope,1996,June,5052.004
Calanus hyperboreus,Greenland shel/slope,1997,May,1001.18
Calanus hyperboreus,Greenland shel/slope,1998,May,
Calanus hyperboreus,Greenland shel/slope,1999,June,2549.28
Calanus hyperboreus,Greenland shel/slope,2000,June,1942.47
Calanus hyperboreus,Greenland shel/slope,2001,May,4687.24
Calanus hyperboreus,Greenland shel/slope,2002,May,2779.8
Calanus hyperboreus,Greenland shel/slope,2003,June,847.5
Calanus hyperboreus,Greenland shel/slope,2004,June,2439.896
Calanus hyperboreus,Greenland shel/slope,2005,June,2297.064
Calanus hyperboreus,Greenland shel/slope,2006,May,4629.125714
Calanus hyperboreus,Greenland shel/slope,2007,May,2452.1
Calanus hyperboreus,Greenland shel/slope,2008,May,969.5483348
Calanus hyperboreus,Greenland shel/slope,2009,May,4634.430262
Calanus hyperboreus,Greenland shel/slope,2010,May,3992.313328
Calanus hyperboreus,Greenland shel/slope,2011,May,4660.044202
Calanus hyperboreus,Greenland shel/slope,2012,May,4736.691895
Calanus hyperboreus,Greenland shel/slope,2013,May,2037.050391
Calanus hyperboreus,Greenland shel/slope,2014,May,3079.312672
Calanus hyperboreus,Greenland shel/slope,2015,May,2480.352898
Calanus hyperboreus,Greenland shel/slope,2016,May,3478.389413
Calanus hyperboreus,Greenland shel/slope,2017,,.
Calanus hyperboreus,Greenland shel/slope,2018,May,1117.51628
Calanus hyperboreus,Greenland shel/slope,2019,June,5278.804
Calanus hyperboreus,Greenland shel/slope,2020,July,
Calanus hyperboreus,Greenland shel/slope,2021,,
Calanus hyperboreus,Greenland shel/slope,2022,May,1874.464543
Calanus hyperboreus,Greenland shel/slope,2023,June,3801.476
%PDI,Labrador shelf/slope,1995,June,87.2
%PDI,Labrador shelf/slope,1996,June,3.8
%PDI,Labrador shelf/slope,1997,May,77.7
%PDI,Labrador shelf/slope,1998,May,48.48396649
%PDI,Labrador shelf/slope,1999,June,66.2427231
%PDI,Labrador shelf/slope,2000,June,8.830709584
%PDI,Labrador shelf/slope,2001,May,38.83838709
%PDI,Labrador shelf/slope,2002,May,41.98571442
%PDI,Labrador shelf/slope,2003,June,39.02156853
%PDI,Labrador shelf/slope,2004,June,3
%PDI,Labrador shelf/slope,2005,June,35.8
%PDI,Labrador shelf/slope,2006,May,20.1
%PDI,Labrador shelf/slope,2007,May,1.6
%PDI,Labrador shelf/slope,2008,May,22.7
%PDI,Labrador shelf/slope,2009,May,3.4
%PDI,Labrador shelf/slope,2010,May,52.2
%PDI,Labrador shelf/slope,2011,May,69.2
%PDI,Labrador shelf/slope,2012,May,25.4
%PDI,Labrador shelf/slope,2013,May,12.1
%PDI,Labrador shelf/slope,2014,May,3.8
%PDI,Labrador shelf/slope,2015,May,5.3
%PDI,Labrador shelf/slope,2016,May,1.119242544
%PDI,Labrador shelf/slope,2017,,.
%PDI,Labrador shelf/slope,2018,May,28.21294292
%PDI,Labrador shelf/slope,2019,June,78.89919721
%PDI,Labrador shelf/slope,2020,July,
%PDI,Labrador shelf/slope,2021,,
%PDI,Labrador shelf/slope,2022,May,20.90535937
%PDI,Labrador shelf/slope,2023,June,34.4
%PDI,Labrador basin,1995,June,41.9
%PDI,Labrador basin,1996,June,0.9
%PDI,Labrador basin,1997,May,6.9
%PDI,Labrador basin,1998,May,24.8526734
%PDI,Labrador basin,1999,June,29.89261474
%PDI,Labrador basin,2000,June,2.423107718
%PDI,Labrador basin,2001,May,9.920537397
%PDI,Labrador basin,2002,May,64.49953134
%PDI,Labrador basin,2003,June,10.40769563
%PDI,Labrador basin,2004,June,12.7
%PDI,Labrador basin,2005,June,33.6
%PDI,Labrador basin,2006,May,40.4
%PDI,Labrador basin,2007,May,9.5
%PDI,Labrador basin,2008,May,21.7
%PDI,Labrador basin,2009,May,7.9
%PDI,Labrador basin,2010,May,67.7
%PDI,Labrador basin,2011,May,5.4
%PDI,Labrador basin,2012,May,63.3
%PDI,Labrador basin,2013,May,3
%PDI,Labrador basin,2014,May,28.6
%PDI,Labrador basin,2015,May,15.64
%PDI,Labrador basin,2016,May,2.518324037
%PDI,Labrador basin,2017,,.
%PDI,Labrador basin,2018,May,45.97068621
%PDI,Labrador basin,2019,June,35.08684143
%PDI,Labrador basin,2020,July,
%PDI,Labrador basin,2021,,
%PDI,Labrador basin,2022,May,69.4779987
%PDI,Labrador basin,2023,June,24.1
%PDI,Greenland Shelf,1995,June,39.5
%PDI,Greenland Shelf,1996,June,71.6
%PDI,Greenland Shelf,1997,May,56.9
%PDI,Greenland Shelf,1998,May,34.58542714
%PDI,Greenland Shelf,1999,June,67.21413651
%PDI,Greenland Shelf,2000,June,75.79180509
%PDI,Greenland Shelf,2001,May,88.14279605
%PDI,Greenland Shelf,2002,May,79.27372941
%PDI,Greenland Shelf,2003,June,15.89833929
%PDI,Greenland Shelf,2004,June,50.1
%PDI,Greenland Shelf,2005,June,50.1
%PDI,Greenland Shelf,2006,May,83.9
%PDI,Greenland Shelf,2007,May,90.4
%PDI,Greenland Shelf,2008,May,23.7
%PDI,Greenland Shelf,2009,May,70.4
%PDI,Greenland Shelf,2010,May,55.3
%PDI,Greenland Shelf,2011,May,79.1
%PDI,Greenland Shelf,2012,May,84.4
%PDI,Greenland Shelf,2013,May,53
%PDI,Greenland Shelf,2014,May,53.3
%PDI,Greenland Shelf,2015,May,52.21
%PDI,Greenland Shelf,2016,May,33.4926478
%PDI,Greenland Shelf,2017,,.
%PDI,Greenland Shelf,2018,May,9.457798963
%PDI,Greenland Shelf,2019,June,49.3992
%PDI,Greenland Shelf,2020,July,
%PDI,Greenland Shelf,2021,,
%PDI,Greenland Shelf,2022,May,48.63669355
%PDI,Greenland Shelf,2023,June,59.6
Pseudocalanus,Labrador shelf/slope,1995,June,25066.41333
Pseudocalanus,Labrador shelf/slope,1996,May,4656.568571
Pseudocalanus,Labrador shelf/slope,1997,May,9482.96
Pseudocalanus,Labrador shelf/slope,1998,June,24537.95
Pseudocalanus,Labrador shelf/slope,1999,June,20819.87333
Pseudocalanus,Labrador shelf/slope,2000,May,3829.085714
Pseudocalanus,Labrador shelf/slope,2001,May,8657.443636
Pseudocalanus,Labrador shelf/slope,2002,June,7871.257143
Pseudocalanus,Labrador shelf/slope,2003,June,22975.98182
Pseudocalanus,Labrador shelf/slope,2004,May,3709.628571
Pseudocalanus,Labrador shelf/slope,2005,May,7876.1
Pseudocalanus,Labrador shelf/slope,2006,May,19057.96364
Pseudocalanus,Labrador shelf/slope,2007,May,1997.84
Pseudocalanus,Labrador shelf/slope,2008,May,5789.205383
Pseudocalanus,Labrador shelf/slope,2009,May,284.8284019
Pseudocalanus,Labrador shelf/slope,2010,May,6628.929693
Pseudocalanus,Labrador shelf/slope,2011,May,12245.4479
Pseudocalanus,Labrador shelf/slope,2012,May,5610.684457
Pseudocalanus,Labrador shelf/slope,2013,May,15093.11244
Pseudocalanus,Labrador shelf/slope,2014,May,3571.937214
Pseudocalanus,Labrador shelf/slope,2015,May,1986.115536
Pseudocalanus,Labrador shelf/slope,2016,May,1516.444485
Pseudocalanus,Labrador shelf/slope,2017,,.
Pseudocalanus,Labrador shelf/slope,2018,May,323.9391654
Pseudocalanus,Labrador shelf/slope,2019,June,9243.118098
Pseudocalanus,Labrador shelf/slope,2020,July,
Pseudocalanus,Labrador shelf/slope,2021,,
Pseudocalanus,Labrador shelf/slope,2022,May,12108.31475
Pseudocalanus,Labrador shelf/slope,2023,June,5639.087
Pseudocalanus,Labrador bassin,1995,June,336.74
Pseudocalanus,Labrador bassin,1996,June,55.37
Pseudocalanus,Labrador bassin,1997,May,220.7266667
Pseudocalanus,Labrador bassin,1998,May,82.49
Pseudocalanus,Labrador bassin,1999,June,51.65714286
Pseudocalanus,Labrador bassin,2000,June,81.36
Pseudocalanus,Labrador bassin,2001,May,110.74
Pseudocalanus,Labrador bassin,2002,May,161.364
Pseudocalanus,Labrador bassin,2003,June,0
Pseudocalanus,Labrador bassin,2004,June,98.31
Pseudocalanus,Labrador bassin,2005,June,111.3857143
Pseudocalanus,Labrador bassin,2006,May,70.31111111
Pseudocalanus,Labrador bassin,2007,May,46.6125
Pseudocalanus,Labrador bassin,2008,May,295.5173264
Pseudocalanus,Labrador bassin,2009,May,215.9791524
Pseudocalanus,Labrador bassin,2010,May,235.4078447
Pseudocalanus,Labrador bassin,2011,May,310.0450454
Pseudocalanus,Labrador bassin,2012,May,191.7556997
Pseudocalanus,Labrador bassin,2013,May,155.6749687
Pseudocalanus,Labrador bassin,2014,May,147.0302514
Pseudocalanus,Labrador bassin,2015,May,323.2884563
Pseudocalanus,Labrador bassin,2016,May,266.0793856
Pseudocalanus,Labrador bassin,2017,,.
Pseudocalanus,Labrador bassin,2018,May,136.8063731
Pseudocalanus,Labrador bassin,2019,June,313.1360264
Pseudocalanus,Labrador bassin,2020,July,
Pseudocalanus,Labrador bassin,2021,,
Pseudocalanus,Labrador bassin,2022,May,1382.670658
Pseudocalanus,Labrador bassin,2023,June,206.4462
Pseudocalanus,Greenland shel/slope,1995,June,2659.731455
Pseudocalanus,Greenland shel/slope,1996,June,514.9975
Pseudocalanus,Greenland shel/slope,1997,May,226
Pseudocalanus,Greenland shel/slope,1998,May,
Pseudocalanus,Greenland shel/slope,1999,June,2163.95
Pseudocalanus,Greenland shel/slope,2000,June,579.69
Pseudocalanus,Greenland shel/slope,2001,May,1137.91
Pseudocalanus,Greenland shel/slope,2002,May,8394.285714
Pseudocalanus,Greenland shel/slope,2003,June,3080.38
Pseudocalanus,Greenland shel/slope,2004,June,828.6666667
Pseudocalanus,Greenland shel/slope,2005,June,1764.306667
Pseudocalanus,Greenland shel/slope,2006,May,1023.369091
Pseudocalanus,Greenland shel/slope,2007,May,268.375
Pseudocalanus,Greenland shel/slope,2008,May,460.7914543
Pseudocalanus,Greenland shel/slope,2009,May,1955.025263
Pseudocalanus,Greenland shel/slope,2010,May,890.4293343
Pseudocalanus,Greenland shel/slope,2011,May,1459.682598
Pseudocalanus,Greenland shel/slope,2012,May,2205.496804
Pseudocalanus,Greenland shel/slope,2013,May,559.36726
Pseudocalanus,Greenland shel/slope,2014,May,2372.519154
Pseudocalanus,Greenland shel/slope,2015,May,1073.629687
Pseudocalanus,Greenland shel/slope,2016,May,210.3189533
Pseudocalanus,Greenland shel/slope,2017,,.
Pseudocalanus,Greenland shel/slope,2018,May,749.4614879
Pseudocalanus,Greenland shel/slope,2019,June,2372.011
Pseudocalanus,Greenland shel/slope,2020,July,
Pseudocalanus,Greenland shel/slope,2021,,
Pseudocalanus,Greenland shel/slope,2022,May,886.285997
Pseudocalanus,Greenland shel/slope,2023,June,3060.085
Oithona,Labrador shelf/slope,1995,June,15697.20667
Oithona,Labrador shelf/slope,1996,May,16956.78
Oithona,Labrador shelf/slope,1997,May,16109.28
Oithona,Labrador shelf/slope,1998,June,14288.22222
Oithona,Labrador shelf/slope,1999,June,27164.99455
Oithona,Labrador shelf/slope,2000,May,22213.21714
Oithona,Labrador shelf/slope,2001,May,21198.8
Oithona,Labrador shelf/slope,2002,June,24988.368
Oithona,Labrador shelf/slope,2003,June,42393.08
Oithona,Labrador shelf/slope,2004,May,19172.87143
Oithona,Labrador shelf/slope,2005,May,24161.45455
Oithona,Labrador shelf/slope,2006,May,54437.75
Oithona,Labrador shelf/slope,2007,May,5017.2
Oithona,Labrador shelf/slope,2008,May,30158.61205
Oithona,Labrador shelf/slope,2009,May,10768.77713
Oithona,Labrador shelf/slope,2010,May,34567.44313
Oithona,Labrador shelf/slope,2011,May,46381.08264
Oithona,Labrador shelf/slope,2012,May,35508.00564
Oithona,Labrador shelf/slope,2013,May,41823.21653
Oithona,Labrador shelf/slope,2014,May,8644.531246
Oithona,Labrador shelf/slope,2015,May,9437.092543
Oithona,Labrador shelf/slope,2016,May,27081.00888
Oithona,Labrador shelf/slope,2017,,.
Oithona,Labrador shelf/slope,2018,May,3606.745
Oithona,Labrador shelf/slope,2019,June,6314.779
Oithona,Labrador shelf/slope,2020,July,
Oithona,Labrador shelf/slope,2021,,
Oithona,Labrador shelf/slope,2022,May,41029.42333
Oithona,Labrador shelf/slope,2023,June,47812.35
Oithona,Labrador bassin,1995,June,161493.95
Oithona,Labrador bassin,1996,June,2698.44
Oithona,Labrador bassin,1997,May,11726.13556
Oithona,Labrador bassin,1998,May,47829.51
Oithona,Labrador bassin,1999,June,39568.83333
Oithona,Labrador bassin,2000,June,10222.15385
Oithona,Labrador bassin,2001,May,18222.03231
Oithona,Labrador bassin,2002,May,67719.28571
Oithona,Labrador bassin,2003,June,132818.1138
Oithona,Labrador bassin,2004,June,7170.038333
Oithona,Labrador bassin,2005,June,24321.07692
Oithona,Labrador bassin,2006,May,41305.49846
Oithona,Labrador bassin,2007,May,7136.384615
Oithona,Labrador bassin,2008,May,24901.80862
Oithona,Labrador bassin,2009,May,11418.67341
Oithona,Labrador bassin,2010,May,29726.49942
Oithona,Labrador bassin,2011,May,19067.12053
Oithona,Labrador bassin,2012,May,20556.48244
Oithona,Labrador bassin,2013,May,9383.533959
Oithona,Labrador bassin,2014,May,8039.267336
Oithona,Labrador bassin,2015,May,5364.072046
Oithona,Labrador bassin,2016,May,6288.746188
Oithona,Labrador bassin,2017,,.
Oithona,Labrador bassin,2018,May,6097.791774
Oithona,Labrador bassin,2019,June,7948.61
Oithona,Labrador bassin,2020,July,
Oithona,Labrador bassin,2021,,
Oithona,Labrador bassin,2022,May,13785.53206
Oithona,Labrador bassin,2023,June,9292.981
Oithona,Greenland shel/slope,1995,June,31661.47
Oithona,Greenland shel/slope,1996,June,1795.796
Oithona,Greenland shel/slope,1997,May,12102.3
Oithona,Greenland shel/slope,1998,May,
Oithona,Greenland shel/slope,1999,June,43618
Oithona,Greenland shel/slope,2000,June,9153
Oithona,Greenland shel/slope,2001,May,22176.024
